Year,Team_name_winner,Team_nickname_winner,Q1_Score_winner,Total_Q1_Score_winner,HalfTime_Score_winner,Total_HalfTime_Score_winner,Q3_Score_winner,Total_Q3_Score_winner,FullTime_Score_winner,Total_FullTime_Score_winner,Team_name_loser,Team_nickname_loser,Q1_Score_loser,Total_Q1_Score_loser,HalfTime_Score_loser,Total_HalfTime_Score_loser, Q3_Score_loser , Total_Q3_Score_loser ,FullTime_Score_loser,Total_FullTime_Score_loser,Venue,Team_enter_exit,Year_of_event
2023,Collingwood Magpies,Magpies,4.4 (28),28,9.9 (63),63,10.15 (75),75,12.18 (90),90,Brisbane Lions,Lions,3.0 (18),18,9.3 (57),57,11.5 (71),71,13.8 (86),86,MCG,,
2022,Geelong Cats,Cats,6.5 (41),41,9.8 (62),62,15.11 (101),101,20.13 (133),133,Sydney Swans,Swans,1.0 (6),6,4.2 (26),26,4.3 (27),27,8.4 (52),52,MCG,,
2021,Melbourne Demons,Demons,4.5 (29),29,5.9 (39),39,12.11 (83),83,21.14 (140),140,Western Bulldogs,Bulldogs,1.2 (8),8,7.5 (47),47,9.5 (59),59,10.6 (66),66,"Perth Stadium (Optus Stadium), Perth, WA",,
2020,Richmond Tigers,Tigers,2.1 (13),13,3.2 (20),20,7.4 (46),46,12.9 (81),81,Geelong Cats,Cats,2.2 (14),14,5.5 (35),35,6.8 (44),44,7.8 (50),50,"Gabba, Brisbane, QLD",,
2019,Richmond Tigers,Tigers,2.3 (15),15,7.5 (47),47,12.9 (81),81,17.12 (114),114,GWS Giants,Giants,1.2 (8),8,1.6 (12),12,2.7 (19),19,3.7 (25),25,MCG,,
2018,West Coast Eagles,Eagles,2.2 (14),14,4.3 (27),27,8.7 (55),55,11.13 (79),79,Collingwood Magpies,Magpies,5.1 (31),31,6.3 (39),39,8.7 (55),55,11.8 (74),74,MCG,,
2017,Richmond Tigers,Tigers,2.3 (15),15,6.4 (40),40,11.8 (74),74,16.12 (108),108,Adelaide Crows,Crows,4.2 (26),26,4.7 (31),31,5.10 (40),40,8.12 (60),60,MCG,,
2016,Western Bulldogs,Bulldogs,2.0 (12),12,7.1 (43),43,9.7 (61),61,13.11 (89),89,Sydney Swans,Swans,1.2 (8),8,7.3 (45),45,8.5 (53),53,10.7 (67),67,MCG,,
2015,Hawthorn Hawks,Hawks,5.0 (30),30,9.3 (57),57,14.5 (89),89,16.11 (107),107,West Coast Eagles,Eagles,1.5 (11),11,3.8 (26),26,5.9 (39),39,8.13 (61),61,MCG,,
2014,Hawthorn Hawks,Hawks,5.5 (35),35,11.9 (75),75,16.11 (107),107,21.11 (137),137,Sydney Swans,Swans,2.3 (15),15,5.3 (33),33,8.5 (53),53,11.8 (74),74,MCG,,
